sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
U/L,U/L,,,,38,,0.46454885601997375,APPROVED,,0,8645,EVENT,,,1613047150247
g/L,g/L,,,,97,,0.41335010528564453,APPROVED,,0,8636,EVENT,,,1613047150249
mg/L,mg/L,,,,6,,0.4179113805294037,APPROVED,,0,8751,EVENT,,,1613047150250
mmol/mol,mmol/mol,,,,11,,0.5865698456764221,APPROVED,,0,9579,EVENT,,,1613047150251
10*12/L,10*12/L,,,,38,,1.0,APPROVED,,0,44777575,EVENT,,,1613047150253
umol/L,umol/L,,,,81,,0.7144085764884949,APPROVED,,0,8749,EVENT,,,1613047150254
mIU/L,mIU/L,,,,6,,0.543891191482544,APPROVED,,0,9040,EVENT,,,1613047150255
mL/min/1.7,mL/min/1.7,,,,10,,0.37371426820755005,APPROVED,sofia,1613064749220,9117,EVENT,,,1613047150255
g/dL,g/dL,,,,38,,0.47991687059402466,APPROVED,,0,8713,EVENT,,,1613047150256
/12,/12,,,,5,,0.5985226035118103,APPROVED,sofia,1613066243110,4262528,EVENT,,sofia,1613066231487
mmHg,mmHg,,,,78,,0.31336861848831177,APPROVED,,0,8876,EVENT,,,1613047150257
U/week,U/week,,,,10,,0.4873812794685364,APPROVED,sofia,1613064186304,44777559,EVENT,,sofia,1613064184298
mmol/l,mmol/l,,,,37,,0.6982107758522034,APPROVED,,0,8753,EVENT,,,1613047150257
%,%,,,,58,,0.0,APPROVED,,0,8554,EVENT,,,1613047150258
iu/L,iu/L,,,,9,,0.5107577443122864,APPROVED,,0,8923,EVENT,,,1613047150258
fl,fl,,,,5,,1.0,APPROVED,,0,8583,EVENT,,,1613047150259
u/L,u/L,,,,46,,0.46454885601997375,APPROVED,,0,8645,EVENT,,,1613047150259
fL,fL,,,,52,,1.0,APPROVED,,0,8583,EVENT,,,1613047150260
pg,pg,,,,45,,0.6109821200370789,APPROVED,,0,8564,EVENT,,,1613047150260
mol/mol,mol/mol,,,,5,,0.4924120306968689,UNCHECKED,,0,44777618,EVENT,,,1613047150261
light d/wk,light d/wk,,,,9,,0.4058923125267029,UNCHECKED,,0,4144040,EVENT,,,1613047150263
light d/wk,light d/wk,,,,9,,0.4058923125267029,UNCHECKED,,0,8621,EVENT,,,1613047150263
-9000001,-9000001,,,,70,,0.5591076016426086,IGNORED,sofia,1613063631747,0,EVENT,,,1613067019422
cm,cm,,,,40,,0.4221177399158478,APPROVED,,0,8582,EVENT,,,1613047150266
ug/l,ug/l,,,,5,,0.4198068678379059,APPROVED,,0,8748,EVENT,,,1613047150266
Units/week,Units/week,,,,10,,0.6680051684379578,APPROVED,sofia,1613064177925,44777559,EVENT,,sofia,1613064172457
Kg,Kg,,,,59,,0.5489564538002014,APPROVED,,0,9529,EVENT,,,1613047150266
g/l,g/l,,,,5,,0.41335010528564453,APPROVED,,0,8636,EVENT,,,1613047150267
mu/L,mu/L,,,,19,,0.49914515018463135,APPROVED,,0,44777578,EVENT,,,1613047150267
10*9/L,10*9/L,,,,268,,1.0,APPROVED,,0,9444,EVENT,,,1613047150267
x10^9/l,x10^9/l,,,,10,,0.2540746331214905,APPROVED,,0,9444,EVENT,,,1613047150268
umol/l,umol/l,,,,7,,0.7144085764884949,APPROVED,,0,8749,EVENT,,,1613047150268
ml/min/1.7,ml/min/1.7,,,,17,,0.37371426820755005,APPROVED,sofia,1613064753842,9117,EVENT,,,1613047150268
/4,/4,,,,13,,0.4668683111667633,APPROVED,sofia,1613066310727,4107051,EVENT,,sofia,1613066304142
mm Hg,mm Hg,,,,131,,0.3295799791812897,APPROVED,,0,8876,EVENT,,,1613047150268
mU/L,mU/L,,,,7,,0.49914515018463135,APPROVED,,0,44777578,EVENT,,,1613047150268
,,,,,117,,0.0,IGNORED,sofia,1613063276616,0,EVENT,,,1613067019422
units/week,units/week,,,,16,,0.6680051684379578,APPROVED,sofia,1613064439112,44777559,EVENT,,sofia,1613064438018
L/L,L/L,,,,7,,1.0,APPROVED,,0,44777604,EVENT,,,1613047150269
kg/m2,kg/m2,,,,12,,0.2769472599029541,APPROVED,,0,9531,EVENT,,,1613047150269
-9999999,-9999999,,,,2312,,0.6501447558403015,IGNORED,sofia,1613063249452,0,EVENT,,,1613067019422
IU/L,IU/L,,,,11,,0.5107577443122864,APPROVED,,0,8923,EVENT,,,1613047150270
x 10*9/L,x 10*9/L,,,,7,,0.9775406718254089,APPROVED,,0,9444,EVENT,,,1613047150271
ng/mL,ng/mL,,,,16,,0.32332539558410645,APPROVED,,0,8842,EVENT,,,1613047150271
-9000099,-9000099,,,,558,,0.6720747351646423,IGNORED,sofia,1613063251754,0,EVENT,,,1613067019423
pmol/L,pmol/L,,,,15,,0.5671860575675964,APPROVED,,0,8729,EVENT,,,1613047150272
ug/L,ug/L,,,,9,,0.4198068678379059,APPROVED,,0,8748,EVENT,,,1613047150273
-9000004,-9000004,,,,36,,0.5351148247718811,IGNORED,sofia,1613063641056,0,EVENT,,,1613067019423
kg,kg,,,,15,,0.5489564538002014,APPROVED,,0,9529,EVENT,,,1613047150273
mmol/L,mmol/L,,,,383,,0.6982107758522034,APPROVED,,0,8753,EVENT,,,1613047150273
IU,IU,,,,8,,0.4208752512931824,APPROVED,,0,8718,EVENT,,,1613047150273
10 9/L,10 9/L,,,,21,,0.3839424252510071,APPROVED,,0,9444,EVENT,,,1613047150274
pg/mL,pg/mL,,,,8,,0.48374733328819275,APPROVED,,0,8845,EVENT,,,1613047150274
1/1,1/1,,,,21,,0.46151480078697205,APPROVED,sofia,1613066400203,4126533,EVENT,,sofia,1613066396359
beats/min,beats/min,,,,15,,0.45705631375312805,APPROVED,sofia,1613065007277,8483,EVENT,,,1613047150274
