sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
1,White,,,,,,1.0,APPROVED,,0,8527,,,,,
2,Mixed,,,,,,1.0,APPROVED,,0,4212311,,,,,
3,Asian or Asian British,,,,,,1.0,APPROVED,,0,8515,,,,,
4,Black or Black British,,,,,,1.0,APPROVED,,0,38003598,,,,,
5,Chinese,,,,,,1.0,APPROVED,,0,38003579,,,,,
6,Other ethnic group,,,,,,1.0,APPROVED,,0,35826615,,,,,
1001,British,,,,,,1.0,APPROVED,,0,35825612,,,,,
1002,Irish,,,,,,1.0,APPROVED,,0,35826265,,,,,
1003,Any other white background,,,,,,1.0,APPROVED,,0,35825478,,,,,
3004,Any other Asian background,,,,,,1.0,APPROVED,,0,35825475,,,,,
