source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
XE2q5,0,CTV3,Serum creatinine level,37392176,SNOMED,1970-01-01,2099-12-31,
XE2q0,0,CTV3,Serum sodium level,37392172,SNOMED,1970-01-01,2099-12-31,
XE2pz,0,CTV3,Serum potassium level,37392171,SNOMED,1970-01-01,2099-12-31,
XE2eA,0,CTV3,Serum albumin level,37392183,SNOMED,1970-01-01,2099-12-31,
XaIdY,0,CTV3,Total white blood count,37393855,SNOMED,1970-01-01,2099-12-31,
XM0lt,0,CTV3,Serum urea level,37392195,SNOMED,1970-01-01,2099-12-31,
XaLJx,0,CTV3,Serum alanine aminotransferase level,37393531,SNOMED,1970-01-01,2099-12-31,
XE2px,0,CTV3,Serum alkaline phosphatase level,37398460,SNOMED,1970-01-01,2099-12-31,
XE2eD,0,CTV3,Serum cholesterol level,37392561,SNOMED,1970-01-01,2099-12-31,
Xa96v,0,CTV3,Haemoglobin concentration,37393847,SNOMED,1970-01-01,2099-12-31,
XE2pb,0,CTV3,Mean cell haemoglobin level,37398674,SNOMED,1970-01-01,2099-12-31,
XaK8y,0,CTV3,Glomerular filtration rate calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation,37393690,SNOMED,1970-01-01,2099-12-31,
XaF8d,0,CTV3,Medication review done,4200295,SNOMED,1970-01-01,2099-12-31,
X77WP,0,CTV3,Liver function tests,37398230,SNOMED,1970-01-01,2099-12-31,
X76tb,0,CTV3,Haematocrit,37393840,SNOMED,1970-01-01,2099-12-31,
X77Wi,0,CTV3,Urea and electrolytes,37392197,SNOMED,1970-01-01,2099-12-31,
XE2q9,0,CTV3,Serum triglyceride levels,37392563,SNOMED,1970-01-01,2099-12-31,
XE2e9,0,CTV3,Serum total protein level,37398462,SNOMED,1970-01-01,2099-12-31,
XE2q7,0,CTV3,Serum lipid levels,37398521,SNOMED,1970-01-01,2099-12-31,
XE0oh,0,CTV3,Never smoked tobacco,4144272,SNOMED,1970-01-01,2099-12-31,
